#,Nome,Sq.,Under,R.,FM,FVMP,P,S
7212,Heggem,Bologna,26,D,"6,5",3,,
7211,Athekame,Milan,21,D,0,3,,
7155,Muharemovic,Sassuolo,22,D,"5,83",3,,
7139,Canestrelli,Pisa,25,D,"5,83",3,,
7018,Nelsson,Verona,27,D,"5,17",3,,
6989,Tiago Gabriel,Lecce,21,D,6,3,,
6985,Candè,Sassuolo,27,D,"5,5",3,,
6869,Ramon,Como,20,D,"5,5",3,,
6642,Coco,Torino,26,D,"5,83",3,,
6485,Kristensen T.,Udinese,23,D,"7,83",3,1,
2653,Lykogiannis,Bologna,32,D,"5,33",3,,
2273,Caracciolo A.,Pisa,35,D,"5,83",3,,
2861,Semper,Pisa,27,P,"5,33",3,,
6630,Mosquera,Verona,26,A,6,3,,
7149,Marin M.,Pisa,27,C,"5,5",3,,
6424,Prati,Cagliari,22,C,"6,17",3,,
6394,Ramadani,Lecce,29,C,"5,67",3,,
6170,Gineitis,Torino,21,C,"4,75",3,,
6015,Berisha M.,Lecce,22,C,"5,5",3,,
5610,Vranckx,Sassuolo,23,C,"5,25",3,,
4890,Tameze,Torino,31,C,5,3,,
1976,Mazzitelli,Cagliari,30,C,"5,5",3,,
1871,Deiola,Cagliari,30,C,"5,83",3,,
7253,Bella-Kotchap,Verona,24,D,"5,5",3,,
7240,Siebert,Lecce,23,D,4,3,,
6965,Lovik,Parma,22,D,"5,83",3,,
6894,Unai Nunez,Verona,28,D,"5,5",3,,
6211,Zemura,Udinese,26,D,"5,83",3,,
5994,Ebosse,Verona,26,D,5,3,,
5820,Bertola,Udinese,22,D,"5,67",3,,
5449,Parisi,Fiorentina,25,D,"5,5",3,,
5307,Valenti,Parma,26,D,"5,5",3,,
4374,Walukiewicz,Sassuolo,25,D,"5,83",3,,
2263,Lazzari,Lazio,32,D,5,3,,
1891,Ceccherini,Cremonese,33,D,0,3,,
6641,Suzuki,Parma,23,P,4,3,,
4236,Muric,Sassuolo,27,P,"5,25",,,
6001,Banda,Lecce,24,A,5,2,,
7276,Cremaschi,Parma,20,C,0,2,,
7208,Miller L.,Udinese,19,C,0,2,,
7028,Bernede,Verona,26,C,"5,83",2,,
6898,Keita M.,Parma,23,C,"5,25",2,,
6191,Belahyane,Lazio,21,C,"6,25",2,,
6024,Sulemana I.,Bologna,22,C,0,2,,
5540,Niasse,Verona,25,C,"5,75",2,,
2528,Matic,Sassuolo,37,C,"5,25",2,,
2117,Kastanos,Verona,27,C,0,2,,
333,Cataldi,Lazio,31,C,"5,5",2,,
7202,Ndiaye,Parma,23,D,"5,5",2,,
7136,Kouassi,Lecce,22,D,"5,75",2,,
6537,Goglichidze,Udinese,21,D,6,2,,
6426,Pedersen,Torino,25,D,6,2,,
6066,Posch,Como,28,D,0,2,,
6039,Cabal,Juventus,24,D,"5,5",2,,
5701,Obert,Cagliari,23,D,"5,83",2,,
4137,Diego Carlos,Como,32,D,0,2,,
791,Sabelli,Genoa,32,D,6,2,,
487,De Silvestri,Bologna,37,D,6,2,,
388,Albiol,Pisa,40,D,0,2,,
6842,Sava,Udinese,23,P,5,2,,
6556,Noslin,Lazio,26,A,0,2,,
5496,Johnsen,Cremonese,27,A,0,2,,
1842,Pierini,Sassuolo,27,A,0,2,,
7145,Piccinini G.,Pisa,24,C,6,2,,
7010,Al-Musrati,Verona,29,C,"5,5",2,,
6980,Venturino,Genoa,19,C,0,2,,
5813,Miretti,Juventus,22,C,0,2,,
5295,Musah,Atalanta,23,C,"6,25",2,,
27,Grassi,Cremonese,30,C,"5,33",2,,
7274,Zè Pedro,Cagliari,28,D,0,2,,
7131,Floriani Mussolini,Cremonese,22,D,"6,5",2,,
7130,Folino,Cremonese,23,D,0,2,,
6957,Valentini N.,Verona,24,D,0,2,,
6870,Faye,Cremonese,21,D,0,2,,
6809,Marianucci,Napoli,21,D,0,2,,
6639,Frese,Verona,27,D,"5,5",2,,
6631,Ghilardi,Roma,22,D,0,2,,
5718,Viti,Fiorentina,23,D,6,2,,
4904,Marì,Fiorentina,32,D,"4,5",2,,
2279,Romagna,Sassuolo,28,D,5,2,,
2170,Milinkovic-Savic V.,Napoli,28,P,"4,5",2,2,
6439,Cheddira,Sassuolo,27,A,0,2,,
7246,Sala A.,Lecce,24,C,"5,5",2,,
6804,Richardson,Fiorentina,23,C,0,2,,
6528,Sarmiento J.,Cremonese,23,C,6,2,,
6481,Payero,Cremonese,27,C,"5,75",2,,
6246,Lipani,Sassuolo,20,C,"5,5",2,,
4404,Thorsby,Genoa,29,C,6,2,,
4284,Sergi Roberto,Como,33,C,"5,5",2,,
7154,Odenthal,Sassuolo,25,D,0,2,,
6990,Veiga D.,Lecce,23,D,"5,5",2,,
6832,Palestra,Cagliari,20,D,"6,5",2,,
6411,Mateus Lusuardi,Pisa,21,D,6,2,,
6351,Lamptey,Fiorentina,25,D,0,2,,
6013,Barbieri,Cremonese,23,D,0,2,,
5532,Bradaric,Verona,26,D,"5,83",2,,
5527,Zanoli,Udinese,25,D,0,2,,
5498,Casale,Bologna,27,D,"5,5",2,,
5168,Tsimikas,Roma,29,D,0,2,,
2745,Calabresi,Pisa,29,D,6,2,,
2728,Pellegrini Lu.,Lazio,26,D,"5,75",2,,
49,Masina,Torino,31,D,"4,5",2,,
7213,Frigan,Parma,22,A,0,2,,
7157,Iannoni,Sassuolo,24,C,0,2,,
6222,Rafia,Lecce,26,C,0,2,,
6054,Moro N.,Bologna,27,C,"5,5",2,,
5290,Estevez,Parma,30,C,0,2,,
4711,Kostic,Juventus,33,C,"7,5",2,,
7260,Ziolkowski,Roma,20,D,0,2,,
7125,Idrissi R.,Cagliari,20,D,6,2,,
6925,Palma,Udinese,17,D,0,2,,
6896,Van Der Brempt,Como,23,D,"5,75",2,,
5899,Gigot,Lazio,32,D,0,2,,
5435,Moreno Alb.,Como,33,D,0,2,,
327,Patric,Lazio,32,D,0,2,,
7165,Liteta,Cagliari,19,C,0,1,,
6212,Zarraga,Udinese,26,C,"5,83",1,,
5457,Maleh,Lecce,27,C,0,1,,
801,Gagliardini,Verona,31,C,6,1,,
6900,Rui Modesto,Udinese,26,D,0,1,,
6665,Coulibaly W.,Sassuolo,26,D,6,1,,
5156,Nkounkou,Torino,25,D,0,1,,
4263,Kabasele,Udinese,34,D,0,1,,
418,Goldaniga,Como,32,D,0,1,,
140,Hysaj,Lazio,31,D,0,1,,
5512,De Luca,Cremonese,27,A,10,1,,
5506,Ekuban,Genoa,31,A,8,1,,
2012,Milik,Juventus,31,A,0,1,,
7271,Odogu,Milan,19,D,0,1,,
7069,Fortini,Fiorentina,19,D,0,1,,
7014,Smolcic I.,Como,25,D,"5,5",1,,
7012,Provstgaard,Lazio,22,D,6,1,,
7011,Slotsager,Verona,19,D,0,1,,
6916,Ahanor,Atalanta,17,D,0,1,,
6496,Bartesaghi,Milan,20,D,0,1,,
6444,Bonfanti,Pisa,22,D,"6,5",1,,
6431,Paz Y.,Sassuolo,23,D,0,1,,
6230,Dossena,Como,27,D,0,1,,
6041,Schuurs,Torino,26,D,0,1,,
5481,Mazzocchi,Napoli,30,D,0,1,,
294,Rugani,Juventus,31,D,0,1,,
2722,Ravaglia F.,Bologna,26,P,0,1,,
6538,Onana J.,Genoa,25,C,0,1,,
5788,Sabiri,Fiorentina,29,C,0,1,,
7222,Cham,Verona,19,D,"5,5",1,,
7196,Denoon,Pisa,21,D,"5,5",1,,
7156,Pieragnolo,Sassuolo,22,D,0,1,,
7140,Coppola F.,Pisa,20,D,0,1,,
6992,Oyegoke,Verona,22,D,0,1,,
6803,Rouhi,Juventus,21,D,0,1,,
5406,Di Pardo,Cagliari,26,D,0,1,,
612,Bianchetti,Cremonese,32,D,6,1,,
6822,Ekhator,Genoa,19,A,5,1,,
5515,Okereke,Cremonese,28,A,6,1,,
247,Pavoletti,Cagliari,37,A,0,1,,
2334,Leris,Pisa,27,C,6,1,,
2274,Valoti,Cremonese,32,C,0,1,,
6977,Otoa,Genoa,21,D,0,1,,
6883,Jean,Lecce,25,D,0,1,,
6826,Dembelè A.,Torino,21,D,0,1,,
6482,Mandas,Lazio,24,P,0,1,,
5116,Martinez Jo.,Inter,27,P,0,1,,
4867,Turati,Sassuolo,24,P,"3,5",1,,
7177,Santiago,Verona,21,C,0,1,,
7147,Hojholt,Pisa,24,C,0,1,,
